,_id,kind,overall,pid,product,source,屏幕显示,性价比,拍照效果,流畅度,电池与续航
0,59ec6f32b735f761862b64be,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,5.0,2.0,4.0,4.0,3.0
1,59ec6f32b735f761862b64bf,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,5.0,2.0,5.0,4.0,3.0
2,59ec6f32b735f761862b64c0,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,5.0,5.0,4.0
3,59ec6f32b735f761862b64c1,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,3.0,5.0,4.0
4,59ec6f32b735f761862b64c2,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,3.0,4.0,5.0,4.0
5,59ec6f32b735f761862b64c3,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,3.0,3.0
6,59ec6f32b735f761862b64c4,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,3.0,4.0
7,59ec6f32b735f761862b64c5,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,3.0,3.0
8,59ec6f32b735f761862b64c6,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,4.0,4.0,5.0
9,59ec6f32b735f761862b64c7,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,4.0,4.0,5.0
10,59ec6f35b735f761862b64c8,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,4.0,4.0
11,59ec6f35b735f761862b64c9,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,3.0,4.0,3.0
12,59ec6f35b735f761862b64ca,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,3.0,5.0,3.0
13,59ec6f35b735f761862b64cb,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,4.0,4.0
14,59ec6f35b735f761862b64cc,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,5.0,4.0,5.0
15,59ec6f35b735f761862b64cd,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,3.0,3.0
16,59ec6f35b735f761862b64ce,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,4.0,3.0
17,59ec6f35b735f761862b64cf,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,3.0,3.0
18,59ec6f35b735f761862b64d0,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,4.0,1.0,4.0,4.0,3.0
19,59ec6f35b735f761862b64d1,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,5.0,5.0,2.0
20,59ec6f36b735f761862b64d2,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,5.0,4.0
21,59ec6f36b735f761862b64d3,Scores,2.0,616067_comment,iPhone 7 Plus,PConline,1.0,2.0,5.0,1.0,1.0
22,59ec6f36b735f761862b64d4,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,2.0,5.0,3.0,4.0
23,59ec6f36b735f761862b64d5,Scores,3.0,616067_comment,iPhone 7 Plus,PConline,3.0,2.0,3.0,5.0,2.0
24,59ec6f36b735f761862b64d6,Scores,3.0,616067_comment,iPhone 7 Plus,PConline,4.0,1.0,4.0,4.0,2.0
25,59ec6f36b735f761862b64d7,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,3.0,4.0
26,59ec6f36b735f761862b64d8,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,3.0,5.0
27,59ec6f36b735f761862b64d9,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,4.0,3.0
28,59ec6f36b735f761862b64da,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,5.0,4.0,4.0
29,59ec6f36b735f761862b64db,Scores,2.6,616067_comment,iPhone 7 Plus,PConline,2.0,1.0,3.0,4.0,3.0
30,59ec6f36b735f761862b64dc,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,3.0,4.0,3.0
31,59ec6f36b735f761862b64dd,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,3.0,5.0,4.0,5.0,5.0
32,59ec6f36b735f761862b64de,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,3.0,4.0,4.0
33,59ec6f36b735f761862b64df,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,4.0,4.0
34,59ec6f36b735f761862b64e0,Scores,5.0,616067_comment,iPhone 7 Plus,PConline,5.0,5.0,5.0,5.0,5.0
35,59ec6f36b735f761862b64e1,Scores,2.8,616067_comment,iPhone 7 Plus,PConline,2.0,1.0,4.0,4.0,3.0
36,59ec6f36b735f761862b64e2,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,5.0,5.0
37,59ec6f36b735f761862b64e3,Scores,3.0,616067_comment,iPhone 7 Plus,PConline,4.0,2.0,3.0,3.0,3.0
38,59ec6f36b735f761862b64e4,Scores,4.8,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,5.0,5.0,5.0
39,59ec6f36b735f761862b64e5,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,4.0,3.0
40,59ec6f36b735f761862b64e6,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,5.0,3.0,3.0,4.0
41,59ec6f36b735f761862b64e7,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,3.0,5.0,4.0,4.0
42,59ec6f36b735f761862b64e8,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,4.0,5.0
43,59ec6f36b735f761862b64e9,Scores,4.6,616067_comment,iPhone 7 Plus,PConline,5.0,5.0,5.0,3.0,5.0
44,59ec6f36b735f761862b64ea,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,5.0,3.0,4.0
45,59ec6f36b735f761862b64eb,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,5.0,5.0,4.0,3.0,3.0
46,59ec6f36b735f761862b64ec,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,4.0,4.0
47,59ec6f36b735f761862b64ed,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,4.0,4.0
48,59ec6f36b735f761862b64ee,Scores,4.8,616067_comment,iPhone 7 Plus,PConline,5.0,5.0,4.0,5.0,5.0
49,59ec6f36b735f761862b64ef,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,3.0,5.0,3.0
50,59ec6f36b735f761862b64f0,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,5.0,3.0,5.0
51,59ec6f36b735f761862b64f1,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,4.0,3.0
52,59ec6f36b735f761862b64f2,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,4.0,4.0,3.0
53,59ec6f36b735f761862b64f3,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,3.0,4.0
54,59ec6f36b735f761862b64f4,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,3.0,4.0
55,59ec6f36b735f761862b64f5,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,5.0,5.0,4.0,5.0,3.0
56,59ec6f36b735f761862b64f6,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,5.0,3.0,3.0,4.0,4.0
57,59ec6f36b735f761862b64f7,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,3.0,3.0
58,59ec6f36b735f761862b64f8,Scores,5.0,616067_comment,iPhone 7 Plus,PConline,5.0,5.0,5.0,5.0,5.0
59,59ec6f36b735f761862b64f9,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,3.0,3.0,3.0
60,59ec6f36b735f761862b64fa,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,3.0,4.0
61,59ec6f36b735f761862b64fb,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,3.0,4.0,4.0
62,59ec6f36b735f761862b64fc,Scores,3.0,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,3.0,3.0
63,59ec6f36b735f761862b64fd,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,5.0,3.0,4.0
64,59ec6f36b735f761862b64fe,Scores,4.6,616067_comment,iPhone 7 Plus,PConline,5.0,5.0,5.0,5.0,3.0
65,59ec6f36b735f761862b64ff,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,3.0,4.0,3.0
66,59ec6f36b735f761862b6500,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,3.0,5.0,3.0,4.0,4.0
67,59ec6f36b735f761862b6501,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,4.0,4.0
68,59ec6f36b735f761862b6502,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,3.0,3.0,3.0
69,59ec6f36b735f761862b6503,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,4.0,4.0,5.0
70,59ec6f37b735f761862b6504,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,4.0,3.0
71,59ec6f37b735f761862b6505,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,3.0,4.0
72,59ec6f37b735f761862b6506,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,4.0,5.0,4.0
73,59ec6f37b735f761862b6507,Scores,4.8,616067_comment,iPhone 7 Plus,PConline,5.0,5.0,5.0,5.0,4.0
74,59ec6f37b735f761862b6508,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,4.0,5.0
75,59ec6f37b735f761862b6509,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,3.0,3.0,3.0
76,59ec6f37b735f761862b650a,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,3.0,3.0,5.0
77,59ec6f37b735f761862b650b,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,3.0,4.0
78,59ec6f37b735f761862b650c,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,3.0,3.0,3.0
79,59ec6f37b735f761862b650d,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,3.0,3.0,3.0
80,59ec6f37b735f761862b650e,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,4.0,4.0,4.0
81,59ec6f37b735f761862b650f,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,4.0,4.0
82,59ec6f37b735f761862b6510,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,4.0,3.0,5.0
83,59ec6f37b735f761862b6511,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,3.0,4.0
84,59ec6f37b735f761862b6512,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,5.0,5.0
85,59ec6f37b735f761862b6513,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,4.0,3.0
86,59ec6f37b735f761862b6514,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,4.0,4.0
87,59ec6f37b735f761862b6515,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,3.0,5.0,4.0,4.0,5.0
88,59ec6f37b735f761862b6516,Scores,4.8,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,5.0,5.0,5.0
89,59ec6f37b735f761862b6517,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,5.0,3.0,5.0
90,59ec6f37b735f761862b6518,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,3.0,4.0
91,59ec6f37b735f761862b6519,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,5.0,3.0
92,59ec6f37b735f761862b651a,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,3.0,4.0,4.0
93,59ec6f37b735f761862b651b,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,5.0,5.0,4.0
94,59ec6f37b735f761862b651c,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,5.0,5.0,4.0
95,59ec6f37b735f761862b651d,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,3.0,4.0,4.0,5.0
96,59ec6f37b735f761862b651e,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,4.0,5.0
97,59ec6f37b735f761862b651f,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,3.0,4.0
98,59ec6f37b735f761862b6520,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,4.0,4.0
99,59ec6f37b735f761862b6521,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,4.0,3.0,5.0
100,59ec6f38b735f761862b6522,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,3.0,4.0,5.0,4.0
101,59ec6f38b735f761862b6523,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,4.0,3.0,4.0
102,59ec6f38b735f761862b6524,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,3.0,4.0
103,59ec6f38b735f761862b6525,Scores,4.6,616067_comment,iPhone 7 Plus,PConline,5.0,5.0,5.0,4.0,4.0
104,59ec6f38b735f761862b6526,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,3.0,4.0
105,59ec6f38b735f761862b6527,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,5.0,5.0,4.0
106,59ec6f38b735f761862b6528,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,5.0,5.0,4.0
107,59ec6f38b735f761862b6529,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,5.0,3.0,4.0,5.0,5.0
108,59ec6f38b735f761862b652a,Scores,4.6,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,4.0,5.0,5.0
109,59ec6f38b735f761862b652b,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,4.0,3.0
110,59ec6f38b735f761862b652c,Scores,4.6,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,5.0,5.0,4.0
111,59ec6f38b735f761862b652d,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,3.0,5.0,5.0,4.0,4.0
112,59ec6f38b735f761862b652e,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,4.0,4.0
113,59ec6f38b735f761862b652f,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,5.0,3.0,5.0,5.0,4.0
114,59ec6f38b735f761862b6530,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,3.0,4.0
115,59ec6f38b735f761862b6531,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,3.0,3.0,3.0
116,59ec6f38b735f761862b6532,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,5.0,3.0,4.0
117,59ec6f38b735f761862b6533,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,3.0,3.0
118,59ec6f38b735f761862b6534,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,5.0,4.0,5.0
119,59ec6f38b735f761862b6535,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,5.0,4.0
120,59ec6f38b735f761862b6536,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,3.0,3.0,4.0
121,59ec6f38b735f761862b6537,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,5.0,5.0
122,59ec6f38b735f761862b6538,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,3.0,3.0
123,59ec6f38b735f761862b6539,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,5.0,3.0
124,59ec6f38b735f761862b653a,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,3.0,3.0,4.0
125,59ec6f38b735f761862b653b,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,3.0,4.0
126,59ec6f38b735f761862b653c,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,4.0,4.0,4.0
127,59ec6f38b735f761862b653d,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,4.0,3.0
128,59ec6f38b735f761862b653e,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,3.0,3.0,3.0
129,59ec6f38b735f761862b653f,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,4.0,5.0
130,59ec6f38b735f761862b6540,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,3.0,4.0,3.0
131,59ec6f38b735f761862b6541,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,3.0,5.0,5.0,4.0,4.0
132,59ec6f38b735f761862b6542,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,4.0,3.0
133,59ec6f38b735f761862b6543,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,5.0,4.0
134,59ec6f38b735f761862b6544,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,4.0,3.0
135,59ec6f38b735f761862b6545,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,3.0,4.0,4.0
136,59ec6f38b735f761862b6546,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,5.0,3.0,5.0,4.0,5.0
137,59ec6f38b735f761862b6547,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,5.0,3.0,4.0,3.0
138,59ec6f38b735f761862b6548,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,3.0,4.0,3.0
139,59ec6f38b735f761862b6549,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,4.0,4.0
140,59ec6f39b735f761862b654a,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,3.0,3.0,5.0
141,59ec6f39b735f761862b654b,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,4.0,4.0,4.0
142,59ec6f39b735f761862b654c,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,3.0,3.0,4.0
143,59ec6f39b735f761862b654d,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,4.0,4.0
144,59ec6f39b735f761862b654e,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,4.0,3.0
145,59ec6f39b735f761862b654f,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,3.0,3.0,4.0
146,59ec6f39b735f761862b6550,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,4.0,3.0
147,59ec6f39b735f761862b6551,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,5.0,3.0,4.0
148,59ec6f39b735f761862b6552,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,5.0,4.0
149,59ec6f39b735f761862b6553,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,5.0,5.0,3.0,4.0,3.0
150,59ec6f39b735f761862b6554,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,3.0,4.0,4.0
151,59ec6f39b735f761862b6555,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,3.0,5.0,4.0,3.0,5.0
152,59ec6f39b735f761862b6556,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,4.0,5.0
153,59ec6f39b735f761862b6557,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,3.0,4.0
154,59ec6f39b735f761862b6558,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,3.0,4.0
155,59ec6f39b735f761862b6559,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,4.0,4.0,3.0
156,59ec6f39b735f761862b655a,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,4.0,4.0,3.0
157,59ec6f39b735f761862b655b,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,4.0,4.0
158,59ec6f39b735f761862b655c,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,5.0,4.0,4.0
159,59ec6f39b735f761862b655d,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,4.0,4.0,4.0
160,59ec6f39b735f761862b655e,Scores,3.4,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,3.0,5.0
161,59ec6f39b735f761862b655f,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,4.0,3.0,5.0
162,59ec6f39b735f761862b6560,Scores,4.0,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,3.0,4.0,5.0
163,59ec6f39b735f761862b6561,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,5.0,3.0,5.0,5.0,4.0
164,59ec6f39b735f761862b6562,Scores,4.4,616067_comment,iPhone 7 Plus,PConline,4.0,5.0,4.0,5.0,4.0
165,59ec6f39b735f761862b6563,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,4.0,4.0
166,59ec6f39b735f761862b6564,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,3.0,3.0,4.0,5.0
167,59ec6f39b735f761862b6565,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,3.0,4.0,3.0
168,59ec6f39b735f761862b6566,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,4.0,3.0,3.0
169,59ec6f39b735f761862b6567,Scores,3.2,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,3.0,4.0
170,59ec6f3ab735f761862b6568,Scores,3.0,616067_comment,iPhone 7 Plus,PConline,3.0,3.0,3.0,3.0,3.0
171,59ec6f3ab735f761862b6569,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,3.0,4.0
172,59ec6f3ab735f761862b656a,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,3.0,4.0,4.0
